Date Issue,Location,Comment,License Plate,Type,Ticket #
02/13/2024 07:37 PM,BUCKEYE LOT,METERS ENFORCED 24 HOURS DAILY.,ARE9270,142 EXPIRED METER/MULTI-SPACE,24P1500491
02/13/2024 07:41 PM,BUCKEYE LOT,METERS ENFORCED 24 HOURS DAILY. METER 363,MFD96,142 EXPIRED METER/MULTI-SPACE,24P1500492
02/13/2024 07:45 PM,BUCKEYE LOT,METERS ENFORCED 24 HOURS DAILY.,RM8380,142 EXPIRED METER/MULTI-SPACE,24P1500493
02/13/2024 09:22 PM,PARK ST,BUS STOP NO PARKING WITH ARROW,UD8605,TOW TOW FEE,24P1500494
02/13/2024 09:22 PM,PARK ST,BUS STOP NO PARKING WITH ARROW,UD8605,045 BUS STOP OR TAXI STAND,24P1500495
02/13/2024 09:24 PM,PARK ST,BUS STOP NO PARKING WITH ARROW,ARY4165,TOW TOW FEE,24P1500496
02/13/2024 09:24 PM,PARK ST,BUS STOP NO PARKING WITH ARROW,ARY4165,045 BUS STOP OR TAXI STAND,24P1500497
02/14/2024 04:05 PM,TENNYSON LN,TIME OF VIOLATION 3:39P DROP OFF PICK UP ONLY W/ VEHICLE ATTENDED 7:30 A 4:30 P ON SCHOOL DAYS,ASJ2727,067 SCHOOL ZONE 7:30A-4:30P,24P1500498
02/14/2024 04:59 PM,PORTAGE RD,CHALKED 2/9/24 CHALK STILL VISIBLE.,Not Found,036 ABANDONMENT 48 HRS-PUB/PRIV,24P1500499
02/14/2024 04:59 PM,PORTAGE RD,CHALKED 2/9/24 CHALK STILL VISIBLE.,Not Found,TOW TOW FEE,24P1500500
02/14/2024 08:44 PM,MARION ST,NO PARKING THIS SIDE,8FTA719,075 RESTRICTED BY SIGNS,24P1500501
02/14/2024 08:47 PM,MARION ST,NO PARKING THIS SIDE,AAF6017,075 RESTRICTED BY SIGNS,24P1500502
02/14/2024 09:07 PM,WILSON ST,NO PARKING ANYTIME WITH ARROW,ANV4772,046 NO PARKING ANYTIME,24P1500503
02/14/2024 09:10 PM,WILSON ST,NO PARKING ANYTIME WITH ARROW,AWB7738,046 NO PARKING ANYTIME,24P1500504
02/14/2024 09:28 PM,BAIRD ST,FACING WRONG DIRECTION ON A TWO-WAY STREET AND EXPIRED REGISTRATION,SW5586,080 AGAINST TRAFFIC-2 WAY STREET,24P1500505
02/14/2024 09:28 PM,BAIRD ST,FACING WRONG DIRECTION ON A TWO-WAY STREET AND EXPIRED REGISTRATION,SW5586,050 UNREG.VEH/IMPROPER DISPLAY,24P1500506
