fullStreetName,CoordList
Atwood Avenue,"[(-89.35152606472991, 43.09279438438451), (-89.35079394415082, 43.09295068322905)]"
Atwood Avenue,"[(-89.35181289423716, 43.0927308745845), (-89.35152606472991, 43.09279438438451)]"
Atwood Avenue,"[(-89.35416334109158, 43.09222649030163), (-89.35300937315715, 43.09247306310476)]"
Atwood Avenue,"[(-89.35300937315715, 43.09247306310476), (-89.35203418330654, 43.092681869515964), (-89.35181289423716, 43.0927308745845)]"
Atwood Avenue,"[(-89.32812220497489, 43.088426878354674), (-89.3272557045017, 43.087512798952865)]"
Atwood Avenue,"[(-89.33975150113109, 43.093313551474374), (-89.33863774666715, 43.0928366593113)]"
Atwood Avenue,"[(-89.32496215183625, 43.0836897228108), (-89.324860184132, 43.08347149650068), (-89.32484750229101, 43.0834391378608), (-89.32483551818929, 43.083406636696765), (-89.32482423426751, 43.08337400201188), (-89.3248136529706, 43.08334124010923), (-89.32480377919525, 43.08330835999413), (-89.32479461292748, 43.08327536976762), (-89.32478615660801, 43.08324227843303), (-89.32477841390967, 43.08320909229434), (-89.32477138604217, 43.08317582215393), (-89.32476507422388, 43.083142473413574), (-89.32475947966448, 43.083109056875635), (-89.32475460603538, 43.0830755797442)]"
Atwood Avenue,"[(-89.32601817991707, 43.08613229863265), (-89.32599640538575, 43.08609385321108), (-89.32597522676215, 43.08605523006605), (-89.32595464649441, 43.086016433700536), (-89.32593466703065, 43.08597746861737), (-89.32591529204551, 43.08593834022056), (-89.32589652398703, 43.085899053012916), (-89.3258783640738, 43.0858596123965), (-89.32586081475237, 43.08582002377416), (-89.32584387847072, 43.085780291648796), (-89.32582755890348, 43.08574042142431), (-89.32550216430539, 43.08496796443487), (-89.32548498766855, 43.08492519150434), (-89.3254672803664, 43.084882535135556), (-89.32544904607971, 43.08483999803159), (-89.3254302835758, 43.08479758379166), (-89.32541099530462, 43.08475529691802), (-89.32539118494697, 43.08471314011389), (-89.32526426318842, 43.084431060599435), (-89.32496215183625, 43.0836897228108)]"
Atwood Avenue,"[(-89.3272557045017, 43.087512798952865), (-89.32704370755246, 43.087288544552024), (-89.32664333220549, 43.08686405275844)]"
Atwood Avenue,"[(-89.32664333220549, 43.08686405275844), (-89.3266105985016, 43.08683700618935), (-89.32657840079666, 43.086809615319886), (-89.32654674644759, 43.08678188735736), (-89.326515641589, 43.08675382590787), (-89.32648509480575, 43.08672543817986), (-89.32645510977198, 43.08669673047744), (-89.32642569384717, 43.086667708207905), (-89.326396853163, 43.086638376777394), (-89.32636859507606, 43.08660874339331), (-89.3263409232617, 43.086578813459695), (-89.32631384384996, 43.08654859328298), (-89.3262873641974, 43.08651809007037), (-89.3262614879792, 43.086487309226094), (-89.32623622132388, 43.08645625795646), (-89.32621157036266, 43.08642494166761), (-89.32618753876646, 43.08639336846396), (-89.32616413143828, 43.0863615437506), (-89.32614135573601, 43.0863294738347), (-89.32611921287568, 43.08629716591864), (-89.32609771021217, 43.086264628109724), (-89.32607685142187, 43.086231864912016), (-89.3260566414034, 43.08619888443082), (-89.3260370826023, 43.086165692969246), (-89.32601817991707, 43.08613229863265)]"
Atwood Avenue,"[(-89.35079394415082, 43.09295068322905), (-89.34951566775638, 43.09319388661517)]"
Atwood Avenue,"[(-89.34951566775638, 43.09319388661517), (-89.34848805949677, 43.09340915792924)]"
Atwood Avenue,"[(-89.34848805949677, 43.09340915792924), (-89.34707040183922, 43.093709828931374)]"
Atwood Avenue,"[(-89.34505084233517, 43.093913679356504), (-89.34459984318936, 43.09390443287486)]"
Atwood Avenue,"[(-89.34707040183922, 43.093709828931374), (-89.34631462891218, 43.09387167951068), (-89.34627231419337, 43.093878215874135), (-89.34622986741499, 43.09388427058096), (-89.34618729717647, 43.09388984273657), (-89.34614461453377, 43.09389493144814), (-89.34610183054387, 43.093899534922706), (-89.34605895257809, 43.09390365226491), (-89.34601599414881, 43.09390728258358), (-89.34597296262726, 43.0939104249834), (-89.34592987152584, 43.09391307857324), (-89.34588672821594, 43.09391524245776), (-89.34584354498057, 43.093916916645256), (-89.34580033164745, 43.093918100241936), (-89.3457570980433, 43.0939187932545), (-89.34571385522293, 43.09391899569025), (-89.34505084233517, 43.093913679356504)]"
